name,type
APPLE iPad 2,MaterialNDevice
Forfait Tablettes et PC Absolu Maitrise,Line
Compteur GC sans mobile,Line
APPLE IPHONE 4,MaterialNDevice
iPad 2 WI-FI 3G 32 Go,MaterialNDevice
APPLE iPad 3 4G,MaterialNDevice
IPAD 3 Wifi/3G,MaterialNDevice
APPLE IPHONE 4S 16Go,MaterialNDevice
APPLE iPHONE 4 16 GO,MaterialNDevice
APPLE IPHONE 5C 16GO,MaterialNDevice
"Pack iPad Air paramétré (wifi, 4G) ",MaterialNDevice
Pack Ipad AIR Service Plus,MaterialNDevice
Ipad AIR non-paramétré,MaterialNDevice
Pack Voyages GN1 - Création de ligne,MaterialNDevice
SAMSUNG GT-i9220 / N7000 Galaxy Note,MaterialNDevice
SAMSUNG  Galaxy S IV,MaterialNDevice
Pack Voyages GN1 - Paramétrage terminal seul,MaterialNDevice
SAMSUNG B2710,MaterialNDevice
ALCATEL One Touch S210,MaterialNDevice
MOTOROLA C350,MaterialNDevice
Pack Voyages GN3 - création de ligne,MaterialNDevice
Pack Voyages GN3,MaterialNDevice
Samsung GALAXY Note,MaterialNDevice
GALAXY Note,MaterialNDevice
Pack Voyages GN1 - Réattribution,MaterialNDevice
NOKIA 1600,MaterialNDevice
HTC Touch HD (T8282),MaterialNDevice
NOKIA 2610,MaterialNDevice
NOKIA E65,MaterialNDevice
HTC S730 Wings,MaterialNDevice
SAMSUNG SGH-B2700,MaterialNDevice
"Pack iPad paramétré (wifi, 4G)",MaterialNDevice
Pack iPad Service Plus,MaterialNDevice
Lignes sans Produits Facturés,Line
NOKIA 5200,MaterialNDevice
Ipad WI-FI 4G 32 Go Noir,MaterialNDevice
APPLE IPAD 4 32go Blanc  ,MaterialNDevice
APPLE IPHONE 4 32 GB,MaterialNDevice
"Pack Ipad non-paramétré (WiFi, 4G)",MaterialNDevice